county,state,weightedSentimentOfTweets,won,percentOfTweets
Davie,North Carolina,0.9000,y,625.00
Pulaski,Kentucky,4.8000,y,1111.11
Stanislaus,California,20.8000,n,41.55
Black Hawk,Iowa,6.5000,n,123.46
Roanoke City,Virginia,64.1000,n,16.33
Costilla,Colorado,0.0000,n,10000.00
St. Joseph,Indiana,6.8000,n,164.36
Oceana,Michigan,1.0000,y,2500.00
Virginia Beach City,Virginia,101.3000,n,20.18
Brown,Wisconsin,14.0000,y,85.95
Henderson,Texas,50.3000,y,28.86
Denton,Texas,60.8000,y,35.42
King,Texas,0.0000,y,10000.00
Bell,Kentucky,0.0000,y,5000.00
Tift,Georgia,3.0000,y,1200.00
Logan,Illinois,418.0000,y,3.46
Fayette,Kentucky,45.2000,n,45.45
Coconino,Arizona,8.0000,n,141.72
DeKalb,Alabama,0.0000,y,1666.67
Rawlins,Kansas,0.0000,y,5000.00
Lamoille,Vermont,157.6000,y,4.67
Salt Lake,Utah,218.9000,n,7.96
Portage,Ohio,8.6000,y,102.04
Thurston,Washington,3.8000,n,311.42
Macon,Illinois,32.6000,y,88.89
Oktibbeha,Mississippi,2.6000,n,1111.11
DeSoto,Mississippi,1.9000,y,400.00
Franklin,Kansas,-1.0000,y,0.00
Monroe,New York,196.4000,n,7.02
Barnstable,Massachusetts,29.3000,n,67.19
Erie,Pennsylvania,34.8000,n,67.36
New Castle,Delaware,12.7000,n,75.45
Gila,Arizona,3.3000,y,781.25
Henry,Illinois,-1.1000,y,0.00
Mono,California,4.8000,n,204.08
Alexander,North Carolina,0.0000,y,5000.00
Hickman,Tennessee,0.0000,y,2000.00
Schoharie,New York,0.0000,y,5000.00
Allegany,Maryland,11.8000,y,137.74
Mitchell,Kansas,-1.0000,y,561.22
Linn,Iowa,12.5000,n,189.04
Salem City,Virginia,1.0000,y,0.00
Staunton City,Virginia,0.0000,n,3333.33
Smith,Texas,-2.3000,y,247.93
Pickaway,Ohio,3.1000,y,1111.11
Meeker,Minnesota,2.0000,y,306.12
Brunswick,North Carolina,31.9000,y,103.31
Orange,Texas,10.8000,y,173.01
Faribault,Minnesota,0.0000,y,10000.00
Worcester,Massachusetts,1332.5000,n,0.93
Mercer,New Jersey,88.0000,n,12.46
Clinton,Ohio,1.2000,y,1875.00
Carson,Texas,1.1000,y,2500.00
Comal,Texas,21.0000,y,100.00
Vance,North Carolina,0.0000,n,1000.00
Union,Illinois,1.7000,y,2222.22
Dallas,Texas,2435.1000,n,1.62
Seminole,Florida,84.8000,n,29.24
Randolph,North Carolina,-1.6000,y,347.22
Concho,Texas,2.7000,y,156.25
Cheyenne,Kansas,-1.0000,y,0.00
